quantity,milk_type,price,branch_id,sugar_level,order_id,temperature,loyalty_points_discount,status,name,price_after_discount,ordered_time_date,size,base_price,category,addons,cart_id,email,coupon_discount,invoice_id,coupon_used,id,complete_date
1,Normal Milk,12,BRANCH003,No Sugar,ORD006,Normal Ice,0,Done,Capuccino,11.4,2024-02-27 00:00:00,Small,12,Coffee,"['Chia Seed', 'Coconut Jelly', 'Pearl']",CART029,user1@gmail.com,9.4,INV006,SAVE5,CART029,
2,Normal Milk,10,BRANCH003,No Sugar,ORD006,Less Ice,0,Done,Chocolate,19.0,2024-02-27 00:00:00,Medium,10,Chocolate,"['Cookie Crumbs', 'Sago', 'Coconut Jelly']",CART030,user1@gmail.com,9.4,INV006,SAVE5,CART030,
2,No Milk,10,BRANCH001,No Sugar,ORD007,Hot,0,Done,Espresso,18.0,2023-11-29 00:00:00,Large,10,Coffee,"['Whipped Cream', 'Chia Seed']",CART031,user4@gmail.com,16.0,INV007,SAVE10,CART031,
2,No Milk,10,BRANCH001,No Sugar,ORD007,Normal Ice,0,Done,Chocolate,18.0,2023-11-29 00:00:00,Small,10,Chocolate,['Whipped Cream'],CART032,user4@gmail.com,16.0,INV007,SAVE10,CART032,
2,Soy Milk,10,BRANCH001,Normal Sugar,ORD007,Hot,0,Done,Chai Latte,18.0,2023-11-29 00:00:00,Large,10,Tea,"['Coconut Jelly', 'Chia Seed', 'Sago']",CART033,user4@gmail.com,16.0,INV007,SAVE10,CART033,
1,Almond Milk,8,BRANCH001,Normal Sugar,ORD007,Less Ice,0,Done,Green Tea,7.2,2023-11-29 00:00:00,Medium,8,Tea,['Coconut Jelly'],CART034,user4@gmail.com,16.0,INV007,SAVE10,CART034,
2,No Milk,8,BRANCH001,Low Sugar,ORD007,Normal Ice,0,Done,Green Tea,14.4,2023-11-29 00:00:00,Medium,8,Tea,['Whipped Cream'],CART035,user4@gmail.com,16.0,INV007,SAVE10,CART035,
1,Almond Milk,12,BRANCH003,Low Sugar,ORD008,Hot,0,Done,Latte,10.8,2024-01-09 00:00:00,Large,12,Coffee,"['Pearl', 'Sago', 'Chia Seed']",CART036,user8@gmail.com,17.400000000000002,INV008,SAVE10,CART036,
2,No Milk,12,BRANCH003,Low Sugar,ORD008,Hot,0,Done,Capuccino,21.6,2024-01-09 00:00:00,Medium,12,Coffee,"['Pearl', 'Cookie Crumbs', 'Sago']",CART037,user8@gmail.com,17.400000000000002,INV008,SAVE10,CART037,
2,No Milk,8,BRANCH003,Normal Sugar,ORD008,Normal Ice,0,Done,Green Tea,14.4,2024-01-09 00:00:00,Large,8,Tea,[],CART038,user8@gmail.com,17.400000000000002,INV008,SAVE10,CART038,
2,Soy Milk,12,BRANCH003,No Sugar,ORD008,Normal Ice,0,Done,Latte,21.6,2024-01-09 00:00:00,Small,12,Coffee,[],CART039,user8@gmail.com,17.400000000000002,INV008,SAVE10,CART039,
1,Normal Milk,10,BRANCH003,Normal Sugar,ORD008,Less Ice,0,Done,Espresso,9.0,2024-01-09 00:00:00,Small,10,Coffee,"['Coconut Jelly', 'Pearl']",CART040,user8@gmail.com,17.400000000000002,INV008,SAVE10,CART040,
1,Almond Milk,8,BRANCH002,Normal Sugar,ORD009,Less Ice,0,Done,Green Tea,7.2,2024-08-03 00:00:00,Medium,8,Tea,"['Whipped Cream', 'Cookie Crumbs', 'Coconut Jelly']",CART041,user4@gmail.com,16.0,INV009,SAVE10,CART041,
2,Almond Milk,12,BRANCH002,No Sugar,ORD009,Hot,0,Done,Latte,21.6,2024-08-03 00:00:00,Medium,12,Coffee,[],CART042,user4@gmail.com,16.0,INV009,SAVE10,CART042,
2,Soy Milk,12,BRANCH002,Normal Sugar,ORD009,Hot,0,Done,Latte,21.6,2024-08-03 00:00:00,Large,12,Coffee,"['Coconut Jelly', 'Sago', 'Whipped Cream']",CART043,user4@gmail.com,16.0,INV009,SAVE10,CART043,
1,Almond Milk,10,BRANCH002,Normal Sugar,ORD009,Normal Ice,0,Done,Chai Latte,9.0,2024-08-03 00:00:00,Large,10,Tea,"['Sago', 'Chia Seed']",CART044,user4@gmail.com,16.0,INV009,SAVE10,CART044,
1,Soy Milk,10,BRANCH002,No Sugar,ORD009,Normal Ice,0,Done,Chocolate,9.0,2024-08-03 00:00:00,Small,10,Chocolate,['Cookie Crumbs'],CART045,user4@gmail.com,16.0,INV009,SAVE10,CART045,
2,Soy Milk,10,BRANCH005,Normal Sugar,ORD010,Less Ice,0,Done,Espresso,20.0,2023-03-30 00:00:00,Large,10,Coffee,"['Sago', 'Pearl', 'Cookie Crumbs']",CART046,user7@gmail.com,0.0,INV010,,CART046,2024-11-26 06:48:26
2,Almond Milk,12,BRANCH005,Low Sugar,ORD010,Normal Ice,0,Done,Mocha,24.0,2023-03-30 00:00:00,Medium,12,Coffee,"['Sago', 'Pearl']",CART047,user7@gmail.com,0.0,INV010,,CART047,
2,Almond Milk,12,BRANCH005,No Sugar,ORD010,Hot,0,Done,Capuccino,24.0,2023-03-30 00:00:00,Large,12,Coffee,['Chia Seed'],CART048,user7@gmail.com,0.0,INV010,,CART048,
2,Normal Milk,10,BRANCH005,Low Sugar,ORD010,Less Ice,0,Done,Chai Latte,20.0,2023-03-30 00:00:00,Medium,10,Tea,[],CART049,user7@gmail.com,0.0,INV010,,CART049,
1,Soy Milk,12,BRANCH005,Low Sugar,ORD010,Normal Ice,0,Done,Mocha,12.0,2023-03-30 00:00:00,Medium,12,Coffee,"['Cookie Crumbs', 'Pearl']",CART050,user7@gmail.com,0.0,INV010,,CART050,
1,Normal Milk,10,BRANCH004,No Sugar,ORD011,Normal Ice,0,Done,Espresso,9.0,2024-01-28 00:00:00,Medium,10,Coffee,"['Sago', 'Whipped Cream']",CART051,user6@gmail.com,22.8,INV011,SAVE10,CART051,
2,No Milk,12,BRANCH004,No Sugar,ORD011,Normal Ice,0,Done,Latte,21.6,2024-01-28 00:00:00,Large,12,Coffee,"['Coconut Jelly', 'Sago']",CART052,user6@gmail.com,22.8,INV011,SAVE10,CART052,
1,Almond Milk,12,BRANCH004,No Sugar,ORD011,Hot,0,Done,Mocha,10.8,2024-01-28 00:00:00,Medium,12,Coffee,['Whipped Cream'],CART053,user6@gmail.com,22.8,INV011,SAVE10,CART053,
2,No Milk,10,BRANCH004,No Sugar,ORD011,Less Ice,0,Done,Chai Latte,18.0,2024-01-28 00:00:00,Large,10,Tea,[],CART054,user6@gmail.com,22.8,INV011,SAVE10,CART054,
2,Almond Milk,10,BRANCH004,No Sugar,ORD011,Hot,0,Done,Espresso,18.0,2024-01-28 00:00:00,Medium,10,Coffee,"['Pearl', 'Whipped Cream', 'Sago']",CART055,user6@gmail.com,22.8,INV011,SAVE10,CART055,
1,Almond Milk,10,BRANCH002,Low Sugar,ORD012,Normal Ice,0,Done,Espresso,10.0,2024-08-12 00:00:00,Small,10,Coffee,"['Sago', 'Cookie Crumbs']",CART056,user7@gmail.com,0.0,INV012,,CART056,
2,Almond Milk,12,BRANCH002,No Sugar,ORD012,Less Ice,0,Done,Capuccino,24.0,2024-08-12 00:00:00,Small,12,Coffee,[],CART057,user7@gmail.com,0.0,INV012,,CART057,
2,Almond Milk,12,BRANCH002,No Sugar,ORD012,Less Ice,0,Done,Latte,24.0,2024-08-12 00:00:00,Large,12,Coffee,"['Sago', 'Pearl']",CART058,user7@gmail.com,0.0,INV012,,CART058,
2,No Milk,12,BRANCH002,No Sugar,ORD012,Normal Ice,0,Done,Capuccino,24.0,2024-08-12 00:00:00,Medium,12,Coffee,[],CART059,user7@gmail.com,0.0,INV012,,CART059,
1,No Milk,12,BRANCH002,Low Sugar,ORD012,Normal Ice,0,Done,Mocha,12.0,2024-08-12 00:00:00,Large,12,Coffee,['Pearl'],CART060,user7@gmail.com,0.0,INV012,,CART060,
1,Normal Milk,12,BRANCH005,Low Sugar,ORD013,Less Ice,0,Done,Mocha,11.4,2024-07-17 00:00:00,Medium,12,Coffee,"['Pearl', 'Whipped Cream', 'Coconut Jelly']",CART061,user9@gmail.com,8.5,INV013,SAVE5,CART061,2024-11-26 06:48:37
1,Normal Milk,12,BRANCH005,No Sugar,ORD013,Hot,0,Done,Latte,11.4,2024-07-17 00:00:00,Large,12,Coffee,['Chia Seed'],CART062,user9@gmail.com,8.5,INV013,SAVE5,CART062,
2,Soy Milk,8,BRANCH005,No Sugar,ORD013,Less Ice,0,Done,Green Tea,15.2,2024-07-17 00:00:00,Large,8,Tea,"['Sago', 'Pearl', 'Cookie Crumbs']",CART063,user9@gmail.com,8.5,INV013,SAVE5,CART063,
2,No Milk,12,BRANCH005,Low Sugar,ORD013,Less Ice,0,Done,Mocha,22.8,2024-07-17 00:00:00,Medium,12,Coffee,[],CART064,user9@gmail.com,8.5,INV013,SAVE5,CART064,
2,No Milk,12,BRANCH005,No Sugar,ORD013,Normal Ice,0,Done,Capuccino,22.8,2024-07-17 00:00:00,Small,12,Coffee,[],CART065,user9@gmail.com,8.5,INV013,SAVE5,CART065,
1,No Milk,10,BRANCH005,No Sugar,ORD014,Hot,0,Done,Chai Latte,9.0,2024-04-11 00:00:00,Medium,10,Tea,[],CART066,user3@gmail.com,23.6,INV014,SAVE10,CART066,2024-11-26 06:48:34
2,Soy Milk,12,BRANCH005,No Sugar,ORD014,Normal Ice,0,Done,Latte,21.6,2024-04-11 00:00:00,Medium,12,Coffee,"['Pearl', 'Coconut Jelly']",CART067,user3@gmail.com,23.6,INV014,SAVE10,CART067,
2,Soy Milk,12,BRANCH005,Low Sugar,ORD014,Hot,0,Done,Capuccino,21.6,2024-04-11 00:00:00,Large,12,Coffee,"['Chia Seed', 'Whipped Cream']",CART068,user3@gmail.com,23.6,INV014,SAVE10,CART068,
1,Normal Milk,12,BRANCH005,No Sugar,ORD014,Hot,0,Done,Mocha,10.8,2024-04-11 00:00:00,Large,12,Coffee,"['Pearl', 'Cookie Crumbs']",CART069,user3@gmail.com,23.6,INV014,SAVE10,CART069,
2,Almond Milk,10,BRANCH005,No Sugar,ORD014,Less Ice,0,Done,Chocolate,18.0,2024-04-11 00:00:00,Large,10,Chocolate,['Cookie Crumbs'],CART070,user3@gmail.com,23.6,INV014,SAVE10,CART070,
2,No Milk,8,BRANCH001,Normal Sugar,ORD015,Hot,0,Done,Green Tea,14.4,2024-03-28 00:00:00,Large,8,Tea,"['Whipped Cream', 'Sago', 'Cookie Crumbs']",CART071,user8@gmail.com,17.400000000000002,INV015,SAVE10,CART071,2024-11-26 06:32:28
2,No Milk,12,BRANCH001,No Sugar,ORD015,Normal Ice,0,Done,Mocha,21.6,2024-03-28 00:00:00,Large,12,Coffee,[],CART072,user8@gmail.com,17.400000000000002,INV015,SAVE10,CART072,
2,Almond Milk,8,BRANCH001,Low Sugar,ORD015,Less Ice,0,Done,Green Tea,14.4,2024-03-28 00:00:00,Medium,8,Tea,['Chia Seed'],CART073,user8@gmail.com,17.400000000000002,INV015,SAVE10,CART073,
1,Soy Milk,12,BRANCH001,Low Sugar,ORD015,Less Ice,0,Done,Latte,10.8,2024-03-28 00:00:00,Medium,12,Coffee,"['Whipped Cream', 'Cookie Crumbs']",CART074,user8@gmail.com,17.400000000000002,INV015,SAVE10,CART074,
2,No Milk,10,BRANCH001,Low Sugar,ORD015,Less Ice,0,Done,Chocolate,18.0,2024-03-28 00:00:00,Small,10,Chocolate,"['Chia Seed', 'Coconut Jelly', 'Pearl']",CART075,user8@gmail.com,17.400000000000002,INV015,SAVE10,CART075,
2,Almond Milk,10,BRANCH003,Low Sugar,ORD016,Less Ice,0,Done,Espresso,18.0,2024-08-13 00:00:00,Large,10,Coffee,"['Whipped Cream', 'Coconut Jelly']",CART076,user6@gmail.com,22.8,INV016,SAVE10,CART076,
1,Soy Milk,10,BRANCH003,No Sugar,ORD016,Less Ice,0,Done,Chocolate,9.0,2024-08-13 00:00:00,Small,10,Chocolate,"['Cookie Crumbs', 'Sago']",CART077,user6@gmail.com,22.8,INV016,SAVE10,CART077,
1,Normal Milk,10,BRANCH003,Low Sugar,ORD016,Normal Ice,0,Done,Espresso,9.0,2024-08-13 00:00:00,Medium,10,Coffee,"['Coconut Jelly', 'Whipped Cream', 'Cookie Crumbs']",CART078,user6@gmail.com,22.8,INV016,SAVE10,CART078,
2,Soy Milk,12,BRANCH003,No Sugar,ORD016,Less Ice,0,Done,Latte,21.6,2024-08-13 00:00:00,Small,12,Coffee,"['Pearl', 'Cookie Crumbs']",CART079,user6@gmail.com,22.8,INV016,SAVE10,CART079,
1,Soy Milk,12,BRANCH003,No Sugar,ORD016,Less Ice,0,Done,Latte,10.8,2024-08-13 00:00:00,Medium,12,Coffee,"['Coconut Jelly', 'Pearl', 'Chia Seed']",CART080,user6@gmail.com,22.8,INV016,SAVE10,CART080,
1,Soy Milk,12,BRANCH002,Normal Sugar,ORD017,Normal Ice,0,Done,Capuccino,12.0,2023-12-01 00:00:00,Medium,12,Coffee,[],CART081,user5@gmail.com,0.0,INV017,,CART081,2024-11-26 06:47:09
1,Normal Milk,12,BRANCH002,Normal Sugar,ORD017,Less Ice,0,Done,Capuccino,12.0,2023-12-01 00:00:00,Large,12,Coffee,"['Sago', 'Cookie Crumbs', 'Whipped Cream']",CART082,user5@gmail.com,0.0,INV017,,CART082,
2,Normal Milk,10,BRANCH002,Low Sugar,ORD017,Normal Ice,0,Done,Espresso,20.0,2023-12-01 00:00:00,Large,10,Coffee,[],CART083,user5@gmail.com,0.0,INV017,,CART083,
1,Normal Milk,8,BRANCH002,No Sugar,ORD017,Less Ice,0,Done,Green Tea,8.0,2023-12-01 00:00:00,Small,8,Tea,"['Whipped Cream', 'Cookie Crumbs', 'Pearl']",CART084,user5@gmail.com,0.0,INV017,,CART084,
1,Almond Milk,8,BRANCH002,Normal Sugar,ORD017,Normal Ice,0,Done,Green Tea,8.0,2023-12-01 00:00:00,Large,8,Tea,[],CART085,user5@gmail.com,0.0,INV017,,CART085,
2,No Milk,12,BRANCH005,Low Sugar,ORD018,Less Ice,0,Done,Mocha,24.0,2024-12-10 00:00:00,Large,12,Coffee,[],CART086,user10@gmail.com,0.0,INV018,,CART086,2024-11-26 06:48:55
2,Almond Milk,10,BRANCH005,No Sugar,ORD018,Less Ice,0,Done,Chocolate,20.0,2024-12-10 00:00:00,Medium,10,Chocolate,['Coconut Jelly'],CART087,user10@gmail.com,0.0,INV018,,CART087,
1,Almond Milk,12,BRANCH005,No Sugar,ORD018,Less Ice,0,Done,Latte,12.0,2024-12-10 00:00:00,Medium,12,Coffee,"['Coconut Jelly', 'Cookie Crumbs']",CART088,user10@gmail.com,0.0,INV018,,CART088,
1,Soy Milk,8,BRANCH005,Low Sugar,ORD018,Less Ice,0,Done,Green Tea,8.0,2024-12-10 00:00:00,Small,8,Tea,"['Pearl', 'Sago', 'Chia Seed']",CART089,user10@gmail.com,0.0,INV018,,CART089,
1,Almond Milk,10,BRANCH005,Normal Sugar,ORD018,Hot,0,Done,Chai Latte,10.0,2024-12-10 00:00:00,Small,10,Tea,"['Whipped Cream', 'Pearl', 'Cookie Crumbs']",CART090,user10@gmail.com,0.0,INV018,,CART090,
1,Almond Milk,12,BRANCH003,Normal Sugar,ORD019,Hot,0,Done,Latte,10.8,2023-12-18 00:00:00,Large,12,Coffee,[],CART091,user6@gmail.com,22.8,INV019,SAVE10,CART091,2024-11-26 06:47:43
2,Almond Milk,10,BRANCH003,Low Sugar,ORD019,Less Ice,0,Done,Espresso,18.0,2023-12-18 00:00:00,Large,10,Coffee,"['Cookie Crumbs', 'Whipped Cream']",CART092,user6@gmail.com,22.8,INV019,SAVE10,CART092,
1,Soy Milk,10,BRANCH003,Normal Sugar,ORD019,Normal Ice,0,Done,Espresso,9.0,2023-12-18 00:00:00,Large,10,Coffee,"['Pearl', 'Sago', 'Cookie Crumbs']",CART093,user6@gmail.com,22.8,INV019,SAVE10,CART093,
1,No Milk,12,BRANCH003,No Sugar,ORD019,Less Ice,0,Done,Latte,10.8,2023-12-18 00:00:00,Medium,12,Coffee,"['Pearl', 'Cookie Crumbs', 'Whipped Cream']",CART094,user6@gmail.com,22.8,INV019,SAVE10,CART094,
1,No Milk,12,BRANCH003,Low Sugar,ORD019,Normal Ice,0,Done,Capuccino,10.8,2023-12-18 00:00:00,Small,12,Coffee,[],CART095,user6@gmail.com,22.8,INV019,SAVE10,CART095,
1,Almond Milk,12,BRANCH002,No Sugar,ORD020,Normal Ice,0,Done,Latte,11.4,2023-09-08 00:00:00,Medium,12,Coffee,['Pearl'],CART096,user1@gmail.com,9.4,INV020,SAVE5,CART096,2024-11-26 06:47:15
2,Almond Milk,10,BRANCH002,No Sugar,ORD020,Hot,0,Done,Chai Latte,19.0,2023-09-08 00:00:00,Medium,10,Tea,[],CART097,user1@gmail.com,9.4,INV020,SAVE5,CART097,
2,Almond Milk,10,BRANCH002,No Sugar,ORD020,Less Ice,0,Done,Chocolate,19.0,2023-09-08 00:00:00,Small,10,Chocolate,['Chia Seed'],CART098,user1@gmail.com,9.4,INV020,SAVE5,CART098,
2,No Milk,12,BRANCH002,Low Sugar,ORD020,Normal Ice,0,Done,Capuccino,22.8,2023-09-08 00:00:00,Large,12,Coffee,[],CART099,user1@gmail.com,9.4,INV020,SAVE5,CART099,
2,Normal Milk,8,BRANCH002,No Sugar,ORD020,Hot,0,Done,Green Tea,15.2,2023-09-08 00:00:00,Small,8,Tea,"['Coconut Jelly', 'Chia Seed', 'Cookie Crumbs']",CART100,user1@gmail.com,9.4,INV020,SAVE5,CART100,
